#Active RPP references from measurements
PRLTA,19,1495,S014:Desig=1,S014:Desig=2
PRLTA,19,1498,S014:Desig=1,S014:Desig=7,S014:Desig=8,S014:Desig=3,S014:Desig=101,S014:Desig=2,S014:Desig=4,S014:Desig=10,S014:Desig=11
PHLTA,25B,380,S014:Desig=1
PHLTA,25B,435,S014:Desig=3,S014:Desig=5
PHLTA,25B,560,S014:Desig=1,S014:Desig=7,S014:Desig=101,S014:Desig=2
PRLTA,19,1393,S014:Desig=1,S014:Desig=2
PRLTA,18,868,S014:Desig=1,S014:Desig=7,S014:Desig=101,S014:Desig=2
PRLTA,18,976,S014:Desig=10,S014:Desig=3
PHRVA,163,1441,S014:Desig=1,S014:Desig=7,S014:Desig=3,S014:Desig=101,S014:Desig=2
PHLTA,24B,486,S014:Desig=3,S014:Desig=4
PRLTA,18,1207,S014:Desig=10,S014:Desig=3,S014:Desig=11
PHLTA,27B,466,S014:Desig=10,S014:Desig=3
PRLTA,20,895,S014:Desig=5
PHLTA,27B,402,S014:Desig=2,S014:Desig=3
PRLTA,21,402,S014A1,S014AS,S014DP
PRLTA,20,748,S014:Desig=12,S014:Desig=14
PHLTA,29B,445,S014DP,S014:Desig=2,S014:Desig=3,S014:Desig=1
NUPHA,B22,66,S014A0
PHLTA,29B,128,S014:Desig=1,S014:Desig=12
PRLTA,25,1358,S014:Desig=1,S014:Desig=7,S014:Desig=101,S014:Desig=2
PHRVA,D1,1303,S014DP
PRLTA,24,534,S014:Desig=1,S014:Desig=2
PHRVA,D2,2564,S014DP
PHRVA,D1,1936,S014:Desig=1,S014:Desig=2
PHRVA,D2,501,S014A2,S014BET,S014DP,S014:Desig=3,S014:Desig=4
NUCIA,3A,796,S014:Desig=1,S014:Desig=101,S014:Desig=2,S014:Desig=7
NUPHA,B27,429,S014:Desig=1,S014:Desig=7,S014:Desig=101,S014:Desig=2
NUPHA,B39,525,S014:Desig=1,S014:Desig=7,S014:Desig=3,S014:Desig=101,S014:Desig=2
PRLTA,29,316,S014A1,S014AQ,S014AS,S014DP
PRLTA,29,313,S014A2,S014BET
PHRVA,D7,2565,S014DP
PHRVA,D7,2569,S014:Desig=10,S014:Desig=3,S014:Desig=15,S014:Desig=4
PRLTA,32,1067,S014:Desig=1
PHLTA,48B,260,S014A1,S014AQ,S014AS
PHLTA,48B,265,S014A2,S014BET
NUCIA,21A,387,S014:Desig=1,S014:Desig=7,S014:Desig=101,S014:Desig=2,S014:Desig=3,S014:Desig=4,S014:Desig=8
PHLTA,59B,99,S014:Desig=3,S014:Desig=5
PHLTA,59B,103,S014:Desig=3,S014:Desig=8
SJNCA,23,48,S014:Desig=5
PHLTA,79B,147,S014:Desig=13
SJNCA,31,195,S014:Desig=1,S014:Desig=7,S014:Desig=101,S014:Desig=2
PHLTA,94B,548,S014:Desig=13
PHLTA,97B,471,S014:Desig=12
NCLTA,32,45,S014:Desig=7
PHLTA,105B,239,M002:Desig=21,M002:Desig=22,S014:Desig=14,S014:Desig=17
SJNCA,36,391,S014:Desig=1,S014:Desig=7
PHRVA,D28,2896,S014:Desig=1
ZEPYA,C25,225,S014A0,S014:Desig=1,S014:Desig=7,S014:Desig=18,S014:Desig=2
PHLTA,160B,421,M002:Desig=6,S014:Desig=1
PHRVA,D33,844,S014:Desig=1
PHRVA,108,1348,S010PL
PHRVA,114,359,S010:Desig=4,S010:Desig=5
NUCIA,22,1087,S010GT
PRLTA,7,346,S010:Desig=3,S010:Desig=4,S010:Desig=6,S010:Desig=2,S010:Desig=5
PHRVA,128,2398,S010:Desig=1,S010:Desig=3,S010:Desig=2,S010:Desig=5,S010:Desig=6,S010:Desig=4
PRLTA,11,26,S019M
PHLTA,12,123,S010:Desig=3,S010:Desig=6
PHRVA,136,B1463,S010:Desig=3
PHRVA,136,B1423,S010:Desig=3,S010:Desig=4,S010:Desig=6,S010:Desig=2,S010:Desig=5
PHRVA,139,B1600,S010:Desig=10,S010:Desig=8
NUCIA,35,768,S010:Desig=3,S010:Desig=4
PHRVA,139,B1068,S010:Desig=3,S010:Desig=5
PRLTA,15,129,S010:Desig=2
PHLTA,15,293,S010:Desig=9
PHRVA,140B,1430,S010:Desig=3
PHRVA,140B,1088,S010:Desig=1,S010:Desig=3,S010:Desig=2,S010:Desig=5,S010:Desig=6,S010:Desig=4
PHRVA,138,B440,S010:Desig=14
6584454,,,S010:Desig=3,S010:Desig=4
PHRVA,150,1153,S010:Desig=5,S010:Desig=6
NUCIA,44A,90,S010:Desig=2,S010:Desig=3
PHLTA,21,343,S010:Desig=1,S010:Desig=2,S010:Desig=6
PHRVA,155,1505,S010:Desig=1,S010:Desig=2,S010:Desig=6,S010:Desig=5
NUCIA,52A,1287,S010FS,S010FT,S010:Desig=3,S010:Desig=6
PHLTA,25B,572,S010:Desig=3,S010:Desig=9
PRLTA,19,98,S010D2
PRLTA,18,1214,S010D1,S010D2,S010DT,S010:Desig=1,S010:Desig=3,S010:Desig=2,S010:Desig=5,S010:Desig=6,S010:Desig=4
PHRVA,159,1187,S010FS,S010FT
PHRVA,D3,10,S010:Desig=3,S010:Desig=5,S010:Desig=6
PHRVA,174,1661,S010FS,S010FT,S010:Desig=1,S010:Desig=6
PRLTA,21,766,S010:Desig=5,S010:Desig=6
PRLTA,20,510,S010:Desig=19
PRLTA,20,73,S010:Desig=17
PHLTA,27B,586,S010:Desig=3,S010:Desig=5,S010:Desig=6
PHRVA,165,1487,S010:Desig=1,S010:Desig=2,S010:Desig=6
PHRVA,167,1225,S010:Desig=1,S010:Desig=6,S010:Desig=5
PHRVA,184,1380,S010PL
PHRVA,180,1333,S010GTP,S010HTP
PHRVA,180,1319,S010:Desig=3,S010:Desig=7,S010:Desig=8
PHRVA,186,1403,S010D3,S010D4
PHRVA,185,1676,S010DT,S010:Desig=1,S010:Desig=3,S010:Desig=2,S010:Desig=5,S010:Desig=6,S010:Desig=4
PHRVA,183,1200,S010GT,S010HT,S010KT
PHRVA,182,1420,S010:Desig=1,S010:Desig=2,S010:Desig=6,S010:Desig=5
PRLTA,25,1370,S010D2,S010DG,S010:Desig=3
PHRVA,D1,1277,S010GT
PHRVA,D2,1205,S010:Desig=3,S010:Desig=4
PHLTA,36B,615,S010:Desig=3,S010:Desig=7,S010:Desig=8
PHRVA,D4,66,S010:Desig=17,S010:Desig=22,S010:Desig=23
PHRVA,D3,52,S010:Desig=1,S010:Desig=3,S010:Desig=2,S010:Desig=5,S010:Desig=6,S010:Desig=4
PHLTA,36B,525,S010:Desig=18,S010:Desig=6
PHLTA,36B,246,S010:Desig=3,S010:Desig=7,S010:Desig=8
PHLTA,36B,521,S010FS,S010FT
PRLTA,29,1118,S010:Desig=38
NUCIA,12A,509,S010GTP,S010HTP
PHRVA,D6,1254,S010FS,S010FT,S010:Desig=1,S010:Desig=2,S010:Desig=5,S010:Desig=6,S010:Desig=3,S010:Desig=4
PRLTA,29,1274,S010:Desig=1,S010:Desig=11
PHLTA,38B,335,S010DM,S010GT,S010HT,S010KT
NUPHA,B36,1,S010GT,S010HT,S010KT
PRLTA,30,500,S010D5
PHLTA,43B,431,S010M
PHRVA,D8,1307,S010:Desig=17,S010:Desig=18,S010:Desig=6,S010:Desig=24,S010:Desig=28
PHRVA,D8,719,S010GT
PHRVA,D8,727,S010:Desig=5,S010:Desig=6,S010:Desig=2,S010:Desig=4
PHRVA,D8,1989,S010:Desig=27
NUPHA,B60,411,S010D2,S010D3
PHLTA,48B,474,S010:Desig=1,S010:Desig=2
PHLTA,56B,201,S010:Desig=15
NUPHA,B89,210,S010FS,S010FT,S010FTM,S010:Desig=3,S010:Desig=6,S010:Desig=5
NUPHA,A254,381,S010M
PHLTA,55B,324,S010F+E
PHLTA,55B,327,S010:Desig=1,S010:Desig=11
PHRVA,D12,2570,S010GTP,S010HTP
NUPHA,B91,45,S010GTP,S010HTP
PHLTA,60B,393,S010:Desig=7,S010:Desig=8
NCLTA,17,521,S010GTP,S010HTP
PHLTA,62B,485,S010:Desig=19,S010:Desig=25,S010:Desig=30,S010:Desig=31,S010:Desig=7,S010:Desig=32,S010:Desig=45
PHLTA,60B,302,S010:Desig=1,S010:Desig=11
NUPHA,B109,173,S010D5
NUPHA,B115,55,S010:Desig=1,S010:Desig=2,S010:Desig=6
PHRVA,D15,22,S010:Desig=17
NUPHA,B126,11,S010GT,S010HT,S010KT
PHLTA,70B,482,S010L0,S010:Desig=5,S010:Desig=6
PHRVA,D15,574,S010:Desig=3,S010:Desig=7
NUPHA,B148,53,S010M
NUPHA,B149,365,S010F-E,S010F+E,S010:Desig=11,S010:Desig=33
PHLTA,107B,159,S010:Desig=20,S029AD2
PRLTA,47,1032,S010IXI
PHRVA,D23,2522,S010M
ZEPYA,C10,215,S010:Desig=34
PHLTA,113B,195,S010:Desig=17,S010:Desig=22,S010:Desig=23,S029AD2
PHRVA,D32,2911,S010F-M,S010F+M,S010:Desig=12,S010:Desig=39,S010:Desig=81,S010:Desig=40
JTPLA,42,481,S010:Desig=37,S010:Desig=4
PHRVA,D34,85,S010PL
PRLTA,13,138,S011M
PHRVA,140B,1334,S011M
PHRVA,142,932,S011M
PHRVA,164,1711,S011M,S013:Desig=3,S013:Desig=4,S013:Desig=5
JTPLA,42,138,S011M
PRLTA,2,266,S018:Desig=1,S018:Desig=101,S018:Desig=2
NUCIA,19,1155,S012:Desig=2
PHRVA,131,2208,S012:Desig=2,S018:Desig=1,S018:Desig=101,S018:Desig=2
PHRVA,130,769,S012:Desig=2,S018:Desig=1,S018:Desig=101,S018:Desig=2
PRLTA,14,475,S013:Desig=2
PHLTA,22,540,S013:Desig=2
PHLTA,27B,58,S012T
PHRVA,171,1418,S012T
PHRVA,188,2033,S013:Desig=1,S013:Desig=11,S013:Desig=9
PRLTA,22,682,S012:Desig=1,S012:Desig=2
PHLTA,29B,521,S012:Desig=3
PRLTA,23,660,S012:Desig=1,S012:Desig=2
PHRVA,D1,1967,S013:Desig=2
PRLTA,27,1678,S012:Desig=1,S012:Desig=2
PHRVA,D3,1557,S013:Desig=2
PHLTA,35B,265,S013:Desig=2
PHRVA,D3,59,S013:Desig=2
PHLTA,36B,603,S013:Desig=9
PHLTA,39B,568,S012:Desig=1,S012:Desig=2
NUPHA,B49,1,S013:Desig=2
PHLTA,40B,703,S012ET+
PRLTA,28,388,S012:Desig=1,S012:Desig=2
NUPHA,B47,94,S012:Desig=1,S012:Desig=2
PHLTA,30B,498,S012:Desig=1,S012:Desig=2
NUPHA,B48,343,S012T
PHLTA,46B,481,S012:Desig=1,S012:Desig=5
PRLTA,31,847,S013IMX,S013REX
PHLTA,44B,217,S012:Desig=3
